Case 1: Area 3845883.2343749995, Perimeter 7844.4
Case 2644: Area 3451530.818844, Perimeter 7437.03
Case 2645: Area 2702055.5862559997, Perimeter 6575.436
Case 2646: Area 3734413.60005, Perimeter 7730.77
Case 2647: Area 1059465.8041400001, Perimeter 4160.304
Case 2648: Area 3924282.575285, Perimeter 7923.924
Case 2649: Area 87802.32980800001, Perimeter 2353.838
Case 2650: Area 3771753.9490779997, Perimeter 7769.557999999999
Case 2651: Area 3624487.73934, Perimeter 7617.7119999999995
Case 2652: Area 3892425.471668999, Perimeter 7892.179999999999
Case 2653: Area 3891644.396976, Perimeter 7891.004000000001
Case 2654: Area 3693205.4930249997, Perimeter 7687.708
Case 2655: Area 3732507.9257309996, Perimeter 7728.36
Case 2656: Area 3435656.761708, Perimeter 7416.002
Case 2657: Area 3670636.025404, Perimeter 7665.530000000001
Case 2658: Area 3667226.7458880004, Perimeter 7664.492
Case 2659: Area 3807948.8696439997, Perimeter 7805.798
Case 2660: Area 3938131.2147870003, Perimeter 7937.896000000001
Case 2661: Area 3496995.678782, Perimeter 7480.206
Case 2662: Area 3867841.20474, Perimeter 7867.182
Case 2663: Area 3718549.1504, Perimeter 7713.612
Case 2664: Area 2071732.22608, Perimeter 5793.812
Case 2665: Area 3554104.562688, Perimeter 7545.248
Case 2666: Area 2105310.448332, Perimeter 5863.344
Case 2667: Area 3499975.2495, Perimeter 7489.798
Case 2668: Area 2780370.594552, Perimeter 6670.526
Case 2669: Area 3904886.253125, Perimeter 7904.46
Case 2670: Area 3811962.27205, Perimeter 7809.754
Case 2671: Area 3559234.558208, Perimeter 7547.532
Case 2672: Area 3166278.331612, Perimeter 7117.984
Case 2673: Area 3797633.072415, Perimeter 7796.528
Case 2674: Area 3436084.3104500007, Perimeter 7424.1900000000005
Case 2675: Area 3610673.7258450002, Perimeter 7605.524
Case 2676: Area 3762019.08888, Perimeter 7758.436
Case 2677: Area 3852985.7012579995, Perimeter 7851.982
Case 2678: Area 3555929.7771550003, Perimeter 7543.064
Case 2679: Area 3308109.0482, Perimeter 7298.9400000000005
Case 2680: Area 3452948.019909, Perimeter 7435.38
Case 2681: Area 1543604.4978680003, Perimeter 4969.968000000001
Case 2682: Area 3187353.5656280005, Perimeter 7151.328
Case 2683: Area 3915605.1321210004, Perimeter 7915.156000000001
Case 2684: Area 3681945.6954160007, Perimeter 7675.5160000000005
Case 2685: Area 2037511.071466, Perimeter 5748.77
Case 2686: Area 3884681.018182, Perimeter 7883.866
Case 2687: Area 3486855.6013500006, Perimeter 7469.790000000001
Case 2688: Area 1725788.9865150002, Perimeter 5255.352000000001
Case 2689: Area 3730461.949104, Perimeter 7725.892
Case 2690: Area 3554084.95568, Perimeter 7542.744000000001
Case 2691: Area 3709875.698352, Perimeter 7707.236000000001
Case 2692: Area 3812995.237964, Perimeter 7810.782
Case 2693: Area 3750479.31676, Perimeter 7746.742
Case 2694: Area 3429591.893406, Perimeter 7421.414000000001
Case 2695: Area 3818355.187206, Perimeter 7816.514
Case 2696: Area 3526308.4041760005, Perimeter 7513.1
Case 2697: Area 3732929.571316, Perimeter 7728.67
Case 2698: Area 3839206.0795919998, Perimeter 7837.603999999999
Case 2699: Area 3744198.6471900004, Perimeter 7740.078
Case 2700: Area 3482741.3373990003, Perimeter 7467.84
Case 2701: Area 3766399.487715, Perimeter 7763.816
Case 2702: Area 3879218.6184159997, Perimeter 7878.334
Case 2703: Area 3787782.4834829997, Perimeter 7785.048
Case 2704: Area 3336676.774112, Perimeter 7322.616
Case 2705: Area 3840396.4681710005, Perimeter 7839.656000000001
Case 2706: Area 3910212.723312, Perimeter 7909.824
Case 2707: Area 3512568.408216, Perimeter 7496.74
Case 2708: Area 3916215.7862939998, Perimeter 7915.802
Case 2709: Area 3241470.680747, Perimeter 7223.064
Case 2710: Area 0.0, Perimeter 0.0
Case 2711: Area 3911429.045052, Perimeter 7910.9439999999995
Case 2712: Area 3639205.4545, Perimeter 7634.21
Case 2713: Area 3853100.8689800003, Perimeter 7852.296
Case 2714: Area 3043403.36049, Perimeter 6986.938
Case 2715: Area 3830790.43044, Perimeter 7828.964
Case 2716: Area 3738080.024568, Perimeter 7733.657999999999
Case 2717: Area 3771131.234487, Perimeter 7767.776
Case 2718: Area 3695308.45226, Perimeter 7693.224
Case 2719: Area 3613323.8157140003, Perimeter 7605.63
Case 2720: Area 2057985.3454080003, Perimeter 5746.352000000001
Case 2721: Area 1207441.693836, Perimeter 4732.65
Case 2722: Area 3803094.0174600007, Perimeter 7801.0160000000005
Case 2723: Area 3727952.823339999, Perimeter 7724.335999999999
Case 2724: Area 3172487.155019, Perimeter 7139.352000000001
Case 2725: Area 3759918.29316, Perimeter 7757.2919999999995
Case 2726: Area 3541748.419184, Perimeter 7528.0380000000005
Case 2727: Area 3821165.088512, Perimeter 7819.1759999999995
Case 2728: Area 3476822.9371499997, Perimeter 7465.298
Case 2729: Area 3710427.3802180006, Perimeter 7705.058000000001
Case 2730: Area 3896027.5039399997, Perimeter 7895.802
Case 2731: Area 3931288.45912, Perimeter 7931.138
Case 2732: Area 3934713.444849, Perimeter 7934.46
Case 2733: Area 3648564.6232350003, Perimeter 7643.272000000001
Case 2734: Area 3935445.6306549995, Perimeter 7935.183999999999
Case 2735: Area 3666060.7435159995, Perimeter 7658.784
Case 2736: Area 3456458.806416, Perimeter 7442.98
Case 2737: Area 3652861.0770509997, Perimeter 7645.096
Case 2738: Area 3704479.521435, Perimeter 7700.264
Case 2739: Area 1204522.854885, Perimeter 4759.924
Case 2740: Area 3375951.7224799995, Perimeter 7374.708
Case 2741: Area 3107497.489971, Perimeter 7073.5599999999995
Case 2742: Area 3781935.5018339995, Perimeter 7779.538
Case 2743: Area 3776900.2451279997, Perimeter 7773.701999999999
Case 2744: Area 3784993.5945150005, Perimeter 7782.024
Case 2745: Area 3828658.8168, Perimeter 7827.83
Case 2746: Area 3365487.7152, Perimeter 7345.304
Case 2747: Area 3886405.6759840003, Perimeter 7885.588
Case 2748: Area 3750412.485442, Perimeter 7747.714
Case 2749: Area 3556353.87685, Perimeter 7543.634
Case 2750: Area 3919389.796431, Perimeter 7919.04
Case 2751: Area 3886208.3415459995, Perimeter 7885.593999999999
Case 2752: Area 705185.0698680001, Perimeter 3686.512
Case 2753: Area 3597327.528813, Perimeter 7586.652
Case 2754: Area 3812500.4049629997, Perimeter 7810.472
Case 2755: Area 3612167.755995, Perimeter 7610.487999999999
Case 2756: Area 1030723.8320360001, Perimeter 4068.4500000000003
Case 2757: Area 3626346.0835850006, Perimeter 7617.444
Case 2758: Area 3803087.887632, Perimeter 7802.004
Case 2759: Area 3806477.8588619996, Perimeter 7805.1939999999995
Case 2760: Area 3768125.3499749997, Perimeter 7766.704
Case 2761: Area 3750171.35958, Perimeter 7746.226000000001
Case 2762: Area 3138853.6256999997, Perimeter 7108.8099999999995
Case 2763: Area 1916723.5917300002, Perimeter 5558.602000000001
Case 2764: Area 3284655.72552, Perimeter 7265.402
Case 2765: Area 3425651.7178100003, Perimeter 7405.086
Case 2766: Area 1029230.727525, Perimeter 4128.052
Case 2767: Area 3740330.031504, Perimeter 7736.24
Case 2768: Area 2257897.4917800003, Perimeter 6035.782
Case 2769: Area 3668313.969468, Perimeter 7661.182
Case 2770: Area 3733588.1239509997, Perimeter 7729.12
Case 2771: Area 3834539.9852799997, Perimeter 7833.4839999999995
Case 2772: Area 3896078.1265519997, Perimeter 7895.454
Case 2773: Area 3781979.011846001, Perimeter 7779.110000000001
Case 2774: Area 3759669.151776, Perimeter 7756.004
Case 2775: Area 3634150.389865, Perimeter 7625.428
Case 2776: Area 3299788.57728, Perimeter 7292.968
Case 2777: Area 3853855.793151, Perimeter 7852.496
Case 2778: Area 3747329.023734, Perimeter 7743.450000000001
Case 2779: Area 3698164.544832, Perimeter 7692.344
Case 2780: Area 3853410.070752, Perimeter 7852.046
Case 2781: Area 3796739.450029, Perimeter 7794.14
Case 2782: Area 3777230.9269709997, Perimeter 7774.2
Case 2783: Area 3656235.381205, Perimeter 7648.748
Case 2784: Area 3875129.5032320004, Perimeter 7874.184
Case 2785: Area 3514250.7056940002, Perimeter 7510.802
Case 2786: Area 3878095.3155, Perimeter 7877.168
Case 2787: Area 3939216.887505, Perimeter 7939.012000000001
Case 2788: Area 3784227.6223680004, Perimeter 7783.432000000001
Case 2789: Area 1513682.09827, Perimeter 4937.005999999999
Case 2790: Area 3541766.00382, Perimeter 7531.376
Case 2791: Area 3599557.52175, Perimeter 7596.102
Case 2792: Area 2686589.6948639997, Perimeter 6588.299999999999
Case 2793: Area 3813079.609864, Perimeter 7811.14
Case 2794: Area 3820043.1963750003, Perimeter 7817.984
Case 2795: Area 3838359.3320540003, Perimeter 7837.110000000001
Case 2796: Area 3727656.59248, Perimeter 7723.346
Case 2797: Area 3850617.0385760004, Perimeter 7849.35
Case 2798: Area 3883097.788596, Perimeter 7882.505999999999
Case 2799: Area 2708318.03242, Perimeter 6582.808
Case 2800: Area 69671.89772100002, Perimeter 1088.556
Case 2801: Area 3738000.6739519997, Perimeter 7733.736
Case 2802: Area 3800554.1279760003, Perimeter 7798.004000000001
Case 2803: Area 3744967.4450910003, Perimeter 7741.816000000001
Case 2804: Area 3847360.2672539996, Perimeter 7847.03
Case 2805: Area 3702595.079295, Perimeter 7697.184
Case 2806: Area 3588220.3685999997, Perimeter 7579.052
Case 2807: Area 1774150.431092, Perimeter 5366.526
Case 2808: Area 3636984.620224, Perimeter 7629.25
Case 2809: Area 1592118.5430780002, Perimeter 5050.858
Case 2810: Area 3772163.230472, Perimeter 7769.346
Case 2811: Area 3424040.0115569998, Perimeter 7411.636
Case 2812: Area 3578577.5627200003, Perimeter 7570.706
Case 2813: Area 3684995.00292, Perimeter 7679.972
Case 2814: Area 3112466.8701600004, Perimeter 7056.874
Case 2815: Area 3695840.799846, Perimeter 7690.294
Case 2816: Area 3697664.1715860004, Perimeter 7693.174000000001
Case 2817: Area 3768680.41768, Perimeter 7765.808
Case 2818: Area 68899.65713600002, Perimeter 1095.7740000000001
Case 2819: Area 3909829.7149320003, Perimeter 7909.354
Case 2820: Area 2206445.87536, Perimeter 6017.974
Case 2821: Area 3456663.1495980006, Perimeter 7436.8820000000005
Case 2822: Area 3534306.838728, Perimeter 7521.748
Case 2823: Area 3739911.5532199997, Perimeter 7735.602
Case 2824: Area 3582497.475216001, Perimeter 7572.816000000001
Case 2825: Area 1779089.3686620002, Perimeter 5382.066000000001
Case 2826: Area 3333965.2208970007, Perimeter 7305.284000000001
Case 2827: Area 3707340.60538, Perimeter 7702.034
Case 2828: Area 2685310.260446, Perimeter 6570.005999999999
Case 2829: Area 3322131.879864, Perimeter 7318.732
Case 2830: Area 3329667.139383, Perimeter 7300.192
Case 2831: Area 3859597.281532, Perimeter 7858.414
Case 2832: Area 3468425.2471799995, Perimeter 7454.302
Case 2833: Area 3475570.99635, Perimeter 7460.906
Case 2834: Area 3679153.99888, Perimeter 7672.834
Case 2835: Area 3753753.7684939997, Perimeter 7752.102
Case 2836: Area 3820937.701643, Perimeter 7818.888
Case 2837: Area 3930676.6785509996, Perimeter 7930.4
Case 2838: Area 3701888.724996, Perimeter 7696.12
Case 2839: Area 3516053.60593, Perimeter 7508.534
Case 2840: Area 3905371.5095639997, Perimeter 7904.8099999999995
Case 2841: Area 3842880.1416899995, Perimeter 7841.322
Case 2842: Area 3782775.993932, Perimeter 7780.1759999999995
Case 2843: Area 3380151.759384, Perimeter 7354.412
Case 2844: Area 3825903.51054, Perimeter 7825.118
Case 2845: Area 3869255.519766, Perimeter 7868.566000000001
Case 2846: Area 3689076.2105219997, Perimeter 7682.914
Case 2847: Area 3794845.348772, Perimeter 7792.9259999999995
Case 2848: Area 3573223.3129900005, Perimeter 7568.182000000001
Case 2849: Area 3632393.317826, Perimeter 7623.546
Case 2850: Area 3714217.661154, Perimeter 7710.77
Case 2851: Area 3335230.761645, Perimeter 7305.116
Case 2852: Area 3843391.1601799997, Perimeter 7842.4619999999995
Case 2853: Area 465531.49104, Perimeter 3204.148
Case 2854: Area 3595520.944584, Perimeter 7586.7
Case 2855: Area 3640240.9092800003, Perimeter 7632.456
Case 2856: Area 3056564.1803610004, Perimeter 7011.700000000001
Case 2857: Area 3755168.953637, Perimeter 7751.436
Case 2858: Area 2503461.17982, Perimeter 6334.192
Case 2859: Area 3492605.222343, Perimeter 7481.792
Case 2860: Area 3710490.656782, Perimeter 7705.214
Case 2861: Area 3420894.5395350005, Perimeter 7399.328
Case 2862: Area 3517151.44284, Perimeter 7509.898
Case 2863: Area 3900664.4201820004, Perimeter 7900.046
Case 2864: Area 3615394.175536, Perimeter 7605.676
Case 2865: Area 3672598.639897, Perimeter 7667.564
Case 2866: Area 3935195.5423479998, Perimeter 7935.082
Case 2867: Area 2860285.171786, Perimeter 6768.5740000000005
Case 2868: Area 3351280.201028, Perimeter 7322.682000000001
Case 2869: Area 3651360.3675360004, Perimeter 7645.02
Case 2870: Area 3867527.794806, Perimeter 7866.414
Case 2871: Area 3671125.593996, Perimeter 7666.639999999999
Case 2872: Area 3642810.5008199997, Perimeter 7634.4619999999995
Case 2873: Area 3727320.973038, Perimeter 7723.522
Case 2874: Area 3374674.311147, Perimeter 7348.456
Case 2875: Area 3875596.21024, Perimeter 7874.696
Case 2876: Area 3781658.8082280005, Perimeter 7779.142000000001
Case 2877: Area 3552628.9568000003, Perimeter 7541.22
Case 2878: Area 3346020.3376820004, Perimeter 7318.986000000001
Case 2879: Area 3362491.878228, Perimeter 7344.657999999999
Case 2880: Area 3600444.1219499996, Perimeter 7591.49
Case 2881: Area 3919109.8795020003, Perimeter 7918.8060000000005
Case 2882: Area 3546953.9714949997, Perimeter 7533.487999999999
Case 2883: Area 3752709.86664, Perimeter 7748.946
Case 2884: Area 3900296.80718, Perimeter 7899.798000000001
Case 2885: Area 2215880.2336000004, Perimeter 5974.064
Case 2886: Area 3796691.394912, Perimeter 7794.884
Case 2887: Area 3475315.084683, Perimeter 7461.848
Case 2888: Area 3501644.2308, Perimeter 7488.486
Case 2889: Area 3839577.11235, Perimeter 7838.982
Case 2890: Area 3678044.387094, Perimeter 7675.902
Case 2891: Area 3621431.4700110005, Perimeter 7613.576000000001
Case 2892: Area 3559357.785942, Perimeter 7549.034
Case 2893: Area 3901599.9950400004, Perimeter 7901.106
Case 2894: Area 3813848.5518630003, Perimeter 7811.632
Case 2895: Area 3701312.12318, Perimeter 7695.582
Case 2896: Area 3773348.9414879996, Perimeter 7771.762
Case 2897: Area 2743101.064272, Perimeter 6626.044
Case 2898: Area 110692.24380000001, Perimeter 1891.22
Case 2899: Area 2616631.041187, Perimeter 6562.184
Case 2900: Area 3777284.6070479997, Perimeter 7774.772
Case 2901: Area 3751563.6660339995, Perimeter 7747.762
Case 2902: Area 3889557.837915, Perimeter 7889.128000000001
Case 2903: Area 3373975.7372230007, Perimeter 7355.968000000001
Case 2904: Area 3822517.9818439996, Perimeter 7820.5199999999995
Case 2905: Area 3650671.729396, Perimeter 7644.406
Case 2906: Area 3886587.2846359997, Perimeter 7886.07
Case 2907: Area 3377335.123624, Perimeter 7351.1720000000005
Case 2908: Area 3699041.247192, Perimeter 7693.486
Case 2909: Area 3356578.02132, Perimeter 7345.067999999999
Case 2910: Area 3866973.3034880003, Perimeter 7865.988
Case 2911: Area 3871694.1349119996, Perimeter 7870.9039999999995
Case 2912: Area 3837457.764426, Perimeter 7836.146
Case 2913: Area 3911914.1398079996, Perimeter 7911.447999999999
Case 2914: Area 3809349.45675, Perimeter 7807.03
Case 2915: Area 3697023.25274, Perimeter 7692.906
Case 2916: Area 3534687.1048919996, Perimeter 7520.306
Case 2917: Area 3633266.5201010006, Perimeter 7624.5
Case 2918: Area 2107871.65653, Perimeter 5859.3859999999995
Case 2919: Area 3841670.603736, Perimeter 7840.526
Case 2920: Area 3802230.3462480004, Perimeter 7800.618
Case 2921: Area 3306211.730204, Perimeter 7278.39
Case 2922: Area 0.0, Perimeter 0.0
Case 2923: Area 3607202.270287, Perimeter 7598.336
Case 2924: Area 2945713.8557120003, Perimeter 6870.036
Case 2925: Area 3405974.8321289998, Perimeter 7382.907999999999
Case 2926: Area 3165874.2578980005, Perimeter 7120.462
Case 2927: Area 3633152.9944049995, Perimeter 7624.436
Case 2928: Area 3182066.6045999997, Perimeter 7161.94
Case 2929: Area 3560816.976024, Perimeter 7553.878000000001
Case 2930: Area 3857989.222843, Perimeter 7856.728
Case 2931: Area 3773375.982222, Perimeter 7770.146000000001
Case 2932: Area 3519551.68564, Perimeter 7504.6759999999995
Case 2933: Area 3812080.315608, Perimeter 7811.371999999999
Case 2934: Area 3713191.9363770005, Perimeter 7710.196
Case 2935: Area 3564991.778612, Perimeter 7552.974
Case 2936: Area 0.0, Perimeter 0.0
Case 2937: Area 3865032.7368, Perimeter 7863.916
Case 2938: Area 3819392.2214199994, Perimeter 7817.422
Case 2939: Area 3860068.4725470003, Perimeter 7859.704
Case 2940: Area 3771403.726611, Perimeter 7769.224
Case 2941: Area 3845987.719327, Perimeter 7844.576
Case 2942: Area 2903064.4371, Perimeter 6835.31
Case 2943: Area 3763896.06978, Perimeter 7762.098
Case 2944: Area 3854317.6230199994, Perimeter 7853.081999999999
Case 2945: Area 466842.650784, Perimeter 2781.212
Case 2946: Area 3815004.449516, Perimeter 7812.816000000001
Case 2947: Area 1874583.043341, Perimeter 5537.5
Case 2948: Area 2535747.05465, Perimeter 6381.258
Case 2949: Area 1314834.410892, Perimeter 4696.165999999999
Case 2950: Area 2769397.111702, Perimeter 6665.853999999999
Case 2951: Area 3650548.327473, Perimeter 7645.052
Case 2952: Area 3135222.472121, Perimeter 7095.156
Case 2953: Area 3856385.808358, Perimeter 7855.418
Case 2954: Area 3099520.105836, Perimeter 7063.3099999999995
Case 2955: Area 3818630.1815020004, Perimeter 7816.586
Case 2956: Area 3730227.9907089993, Perimeter 7728.0199999999995
Case 2957: Area 3495054.2655280004, Perimeter 7481.908
Case 2958: Area 3820058.9168640003, Perimeter 7818.4
Case 2959: Area 3973115.1171700004, Perimeter 7973.078
Case 2960: Area 3878333.1704700002, Perimeter 7877.394
Case 2961: Area 3888296.6741939997, Perimeter 7887.598
Case 2962: Area 2955824.906252, Perimeter 6877.446
Case 2963: Area 3447296.4691999997, Perimeter 7427.147999999999
Case 2964: Area 3579943.4867699994, Perimeter 7568.306
Case 2965: Area 3445873.3360800003, Perimeter 7435.052
Case 2966: Area 3766877.7876420002, Perimeter 7764.086
Case 2967: Area 3773369.7019279995, Perimeter 7773.0779999999995
Case 2968: Area 3807095.635358, Perimeter 7805.9220000000005
Case 2969: Area 3149209.694225, Perimeter 7109.724
Case 2970: Area 3763187.9043409997, Perimeter 7761.683999999999
Case 2971: Area 504865.57289999997, Perimeter 3294.83
Case 2972: Area 3794626.075038, Perimeter 7792.262000000001
Case 2973: Area 3732957.78523, Perimeter 7728.8060000000005
Case 2974: Area 3590663.95197, Perimeter 7584.5380000000005
Case 2975: Area 3196249.9669390004, Perimeter 7158.52
Case 2976: Area 3911975.8927590004, Perimeter 7911.488
Case 2977: Area 2719804.0137900007, Perimeter 6599.726000000001
Case 2978: Area 3794224.829456, Perimeter 7791.63
Case 2979: Area 3873369.2521599997, Perimeter 7872.376
Case 2980: Area 3755406.8820240004, Perimeter 7752.22
Case 2981: Area 3836288.4684240003, Perimeter 7835.02
Case 2982: Area 3845313.2223650003, Perimeter 7843.836
Case 2983: Area 3917306.021584, Perimeter 7916.912
Case 2984: Area 3852291.2137680002, Perimeter 7850.938
Case 2985: Area 3322798.8694680003, Perimeter 7292.2880000000005
Case 2986: Area 3372298.5702119996, Perimeter 7354.773999999999
Case 2987: Area 3598944.417775, Perimeter 7589.2
Case 2988: Area 3862533.065463, Perimeter 7861.487999999999
Case 2989: Area 3706955.7200339995, Perimeter 7704.65
Case 2990: Area 3346634.6985000004, Perimeter 7319.93
Case 2991: Area 3856981.7724300004, Perimeter 7856.542
Case 2992: Area 3893151.1151199997, Perimeter 7892.812
Case 2993: Area 3621548.132142, Perimeter 7618.226000000001
Case 2994: Area 3755517.115998001, Perimeter 7752.338000000001
Case 2995: Area 3749553.89007, Perimeter 7745.554
Case 2996: Area 3891366.4043360003, Perimeter 7890.624
Case 2997: Area 3535250.04928, Perimeter 7521.304
Case 2998: Area 3365143.0019819997, Perimeter 7338.566
Case 2999: Area 2910514.04943, Perimeter 6824.242
Case 3000: Area 3766022.737141, Perimeter 7763.284
Case 3001: Area 562709.140356, Perimeter 3136.214
Case 3002: Area 1029686.811472, Perimeter 4178.4439999999995
Case 3003: Area 3640814.32074, Perimeter 7632.518
Case 3004: Area 3923483.1114419997, Perimeter 7923.114
Case 3005: Area 3510940.114664, Perimeter 7495.65
Case 3006: Area 2858607.722523, Perimeter 6763.112
Case 3007: Area 3711130.6785099995, Perimeter 7705.762
Case 3008: Area 3852651.88096, Perimeter 7851.364
Case 3009: Area 3944910.0471860007, Perimeter 7944.726000000001
Case 3010: Area 3752526.1637879997, Perimeter 7750.512
Case 3011: Area 157316.612691, Perimeter 1607.7199999999998
Case 3012: Area 3649612.0906080003, Perimeter 7643.358
Case 3013: Area 3566939.9414369995, Perimeter 7557.956
Case 3014: Area 3856324.4811629998, Perimeter 7855.048
Case 3015: Area 2870608.793886, Perimeter 6777.53
Case 3016: Area 3629266.311166, Perimeter 7622.534
Case 3017: Area 3921878.4673229996, Perimeter 7921.608
Case 3018: Area 2639984.418222, Perimeter 6547.585999999999
Case 3019: Area 3741943.520275, Perimeter 7739.192
Case 3020: Area 3862107.7683200003, Perimeter 7860.996
Case 3021: Area 2617438.221552, Perimeter 6530.206
Case 3022: Area 3893779.278984, Perimeter 7893.188
Case 3023: Area 3486018.89636, Perimeter 7468.7880000000005
Case 3024: Area 929291.884218, Perimeter 3897.822
Case 3025: Area 2998144.6801199997, Perimeter 6926.8279999999995
Case 3026: Area 2215288.453956, Perimeter 5958.536
Case 3027: Area 3844114.2404400003, Perimeter 7842.5740000000005
Case 3028: Area 3930441.165585, Perimeter 7930.276
Case 3029: Area 3716615.496594, Perimeter 7714.09
Case 3030: Area 3500581.950644, Perimeter 7483.95
Case 3031: Area 3882913.1731199995, Perimeter 7882.552
Case 3032: Area 1829047.0207, Perimeter 5502.286
Case 3033: Area 0.0, Perimeter 0.0
Case 3034: Area 3868170.71736, Perimeter 7867.186
Case 3035: Area 3667702.0636919998, Perimeter 7660.773999999999
Case 3036: Area 3915769.612716, Perimeter 7915.334
Case 3037: Area 3866675.580056, Perimeter 7866.0599999999995
Case 3038: Area 3825005.13252, Perimeter 7823.468
Case 3039: Area 3798619.3233769997, Perimeter 7796.484
Case 3040: Area 3683810.356525, Perimeter 7677.796
Case 3041: Area 3356810.651964, Perimeter 7329.280000000001
Case 3042: Area 3867827.5518820006, Perimeter 7866.826000000001
Case 3043: Area 3790451.069664, Perimeter 7788.91
Case 3044: Area 3846221.218964, Perimeter 7844.718000000001
Case 3045: Area 3536504.2404719996, Perimeter 7529.585999999999
Case 3046: Area 2738582.92124, Perimeter 6621.732
Case 3047: Area 3693503.035049, Perimeter 7687.5
Case 3048: Area 3867607.83547, Perimeter 7867.022
Case 3049: Area 3408196.18677, Perimeter 7394.978
Case 3050: Area 3065923.824292, Perimeter 7014.766
Case 3051: Area 3711825.404067, Perimeter 7706.584
Case 3052: Area 3763106.187458, Perimeter 7759.5779999999995
Case 3053: Area 3774744.6102000005, Perimeter 7772.860000000001
Case 3054: Area 3340053.604119, Perimeter 7315.52
Case 3055: Area 3654054.12288, Perimeter 7648.658
Case 3056: Area 3821372.37918, Perimeter 7821.072
Case 3057: Area 2980780.0485119997, Perimeter 6967.8859999999995
Case 3058: Area 3698214.7677140003, Perimeter 7695.282
Case 3059: Area 3864324.356293, Perimeter 7863.308
Case 3060: Area 3786094.9790760004, Perimeter 7783.24
Case 3061: Area 3900807.156159, Perimeter 7900.512000000001
Case 3062: Area 3453038.593878, Perimeter 7440.982
Case 3063: Area 3962690.54076, Perimeter 7962.603999999999
Case 3064: Area 3490219.921784, Perimeter 7476.012000000001
Case 3065: Area 3806700.5143630006, Perimeter 7804.552000000001
Case 3066: Area 3646022.871456, Perimeter 7638.4400000000005
Case 3067: Area 3698235.8520719996, Perimeter 7695.356
Case 3068: Area 3786026.92625, Perimeter 7784.37
Case 3069: Area 3038187.319186, Perimeter 6979.49
Case 3070: Area 3687693.6639900003, Perimeter 7681.598
Case 3071: Area 3636133.409142, Perimeter 7632.226000000001
Case 3072: Area 3746294.1552540003, Perimeter 7742.642
Case 3073: Area 3539123.730864, Perimeter 7529.868
Case 3074: Area 3087195.066354, Perimeter 7028.21
Case 3075: Area 3818532.012954, Perimeter 7817.0419999999995
Case 3076: Area 2899440.7814789996, Perimeter 6815.392
Case 3077: Area 3822902.171885, Perimeter 7822.308
Case 3078: Area 3337556.8924880004, Perimeter 7312.842000000001
Case 3079: Area 3177666.2575, Perimeter 7147.886
Case 3080: Area 2016604.820244, Perimeter 5681.702
Case 3081: Area 3826728.9117539995, Perimeter 7824.842
Case 3082: Area 3830138.058672, Perimeter 7828.386
Case 3083: Area 3441551.8980960003, Perimeter 7421.76
Case 3084: Area 3808771.2121800003, Perimeter 7807.474
Case 3085: Area 3846796.983708, Perimeter 7845.442
Case 3086: Area 1630654.0727449998, Perimeter 5111.987999999999
Case 3087: Area 2329538.351886, Perimeter 6114.09
Case 3088: Area 3380170.730832, Perimeter 7354.796
Case 3089: Area 3829859.342152, Perimeter 7828.454
Case 3090: Area 3944480.6573799998, Perimeter 7944.334
Case 3091: Area 3287215.2508799997, Perimeter 7260.103999999999
Case 3092: Area 3665998.4385500005, Perimeter 7658.9220000000005
Case 3093: Area 3760201.8323999997, Perimeter 7757.876
Case 3094: Area 3747752.2234799997, Perimeter 7743.6759999999995
Case 3095: Area 3705051.44724, Perimeter 7699.804
Case 3096: Area 3761282.376, Perimeter 7757.63
Case 3097: Area 3767288.912575, Perimeter 7764.928
Case 3098: Area 3782313.706698, Perimeter 7779.582
Case 3099: Area 3852468.0839879997, Perimeter 7851.157999999999
Case 3100: Area 3828325.880392, Perimeter 7826.924
Case 3101: Area 3745990.020968, Perimeter 7742.052
Case 3102: Area 2353848.6009599995, Perimeter 6139.056
Case 3103: Area 3878681.4101070003, Perimeter 7878.264
Case 3104: Area 3792538.847609, Perimeter 7789.812
Case 3105: Area 3697477.53921, Perimeter 7691.566000000001
Case 3106: Area 3842144.407662, Perimeter 7840.934
Case 3107: Area 3177335.7887570006, Perimeter 7138.284000000001
Case 3108: Area 3369250.7804159997, Perimeter 7345.415999999999
Case 3109: Area 3771595.5469319997, Perimeter 7769.966
Case 3110: Area 3903556.1664750003, Perimeter 7902.968000000001
Case 3111: Area 3918764.5731019997, Perimeter 7918.374
Case 3112: Area 3792583.6305480003, Perimeter 7791.192000000001
Case 3113: Area 3813287.9028600003, Perimeter 7812.706
Case 3114: Area 3736919.384075, Perimeter 7732.584
Case 3115: Area 3391988.322156, Perimeter 7368.59
Case 3116: Area 3879012.496565999, Perimeter 7878.129999999999
Case 3117: Area 3847664.6674290006, Perimeter 7847.092000000001
Case 3118: Area 2481131.21459, Perimeter 6373.9619999999995
Case 3119: Area 1551361.392819, Perimeter 4988.152
Case 3120: Area 3155916.992317, Perimeter 7119.236
Case 3121: Area 3175053.215826, Perimeter 7130.530000000001
Case 3122: Area 3821971.3850249997, Perimeter 7820.324
Case 3123: Area 3432548.4787549996, Perimeter 7413.864
Case 3124: Area 3819017.046012, Perimeter 7817.3060000000005
Case 3125: Area 3458682.89014, Perimeter 7449.0560000000005
Case 3126: Area 3847851.202524, Perimeter 7847.2
Case 3127: Area 3768376.807656, Perimeter 7765.436
